FU129	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	
	36	2	71414	11907	6776	43599	105851	46452	34.16	
	36	3	70358	11554	8018	238089	76289	47326	34.16	
	36	4	69619	14384	8007	105158	343697	47994	34.16	
	36	5	62594	39490	20734	236678	30084	49546	34.16	
	36	6	56781	12871	7738	64034	16451	41141	34.16	
	36	7	51696	13454	8108	119723	58913	45788	34.16	
	36	8	22940	7404	5571	5235	7274	4340	34.16	
	37	1	22133	7295	5410	5123	6774	4317	34.19	
	37	2	83523	12593	6787	43752	115144	46640	34.19	
	37	3	70461	11603	8049	238392	82820	47497	34.19	
	37	4	69624	16919	9004	105065	343517	47947	34.19	
	37	5	63050	49217	25187	236211	29984	49478	34.19	
	37	6	56925	12912	7782	67068	16712	41366	34.19	
	37	7	51791	14855	8727	119670	58917	45834	34.19	
	37	8	22920	7383	5554	5211	7281	4340	34.19	
	38	1	22156	7313	5431	5110	6771	4301	34.22	
	38	2	104017	13740	6779	43951	126984	46864	34.22	
	38	3	70500	11577	8038	238420	94632	47608	34.22	
	38	4	69960	20801	10540	105198	343375	47994	34.22	
	38	5	63440	57558	29110	236076	29992	49494	34.22	
	38	6	56914	12901	7774	69249	16841	41475	34.22	
	38	7	51910	16771	9557	119687	58930	45931	34.22	
	38	8	22959	7386	5545	5230	7278	4342	34.22	
	39	1	22183	7315	5426	5133	6771	4303	34.25	
	39	2	134213	15445	6790	44130	139978	47086	34.25	
	39	3	70511	11588	8039	238800	113134	47913	34.25	
	39	4	70203	24762	12146	105312	343381	47915	34.25	
	39	5	63828	64011	32062	236427	30047	49536	34.25	
	39	6	56721	12918	7797	70762	16964	41612	34.25	
	39	7	52091	18872	10441	119692	58929	46022	34.25	
	39	8	22983	7371	5593	5245	7284	4339	34.25	
	40	1	22189	7327	5422	5114	6792	4300	34.25	
	40	2	170268	17464	6818	44260	151965	47247	34.25	
	40	3	70615	11630	8061	239203	134114	48296	34.25	
	40	4	70436	28371	13553	105326	343473	47911	34.25	
	40	5	64201	69168	34391	236680	30065	49614	34.25	
	40	6	56747	12885	7787	71622	17011	41703	34.25	
	40	7	52137	21220	11441	119428	58807	45940	34.25	
	40	8	22989	7428	5584	5250	7284	4353	34.25	
