FU 137	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	FILE EXPORTED FROM DATABASE	
	20	1	10005	3418	3323	3686	142426	27552	39360	36.16
	20	2	59299	11641	5919	39902	119286	32068	45812	36.16
	20	3	60187	13490	5482	15393	214792	35388	50555	36.16
	20	4	59833	24454	11407	55883	238438	34384	49120	36.16
	20	5	71650	22338	11036	109610	198096	34701	49573	36.16
	20	6	81186	26754	11338	44173	94101	32523	46462	36.16
	20	7	64222	15315	7670	101312	149508	30939	44199	36.16
	20	8	10994	3441	3409	3136	4238	2871	4102	36.16
	21	1	9994	3419	3323	3722	142559	27543	39348	36.16
	21	2	58561	11543	5860	39350	117600	31738	45341	36.16
	21	3	60168	13497	5499	15395	214746	35420	50600	36.16
	21	4	59919	24492	11398	55946	238695	34416	49166	36.16
	21	5	71713	22328	11033	109575	198010	34687	49554	36.16
	21	6	81223	26800	11364	44158	94021	32500	46430	36.16
	21	7	63763	15276	7606	100653	148248	30828	44041	36.16
	21	8	11003	3431	3401	3146	4245	2839	4056	36.16
	22	1	9976	3428	3329	3702	142495	27566	39380	36.19
	22	2	59385	11674	5905	40222	119683	32184	45978	36.19
	22	3	60234	13510	5502	15440	214920	35363	50519	36.19
	22	4	59982	24525	11432	55990	238839	34435	49193	36.19
	22	5	71904	22339	11043	109487	197928	34656	49509	36.19
	22	6	81047	26775	11349	44023	93655	32374	46250	36.19
	22	7	63469	15175	7641	100112	147654	30835	44051	36.19
	22	8	11008	3446	3415	3144	4246	2868	4098	36.19
	23	1	9980	3451	3345	3710	142138	27530	39329	36.22
	23	2	59075	11632	5895	39869	118773	32118	45883	36.22
	23	3	60321	13539	5510	15454	215293	35422	50604	36.22
	23	4	60060	24557	11453	56039	239211	34483	49262	36.22
	23	5	72275	22417	11040	109573	198145	34690	49558	36.22
	23	6	78455	25974	11050	42573	90510	31348	44783	36.22
	23	7	63230	15146	7592	99783	146979	30776	43966	36.22
	23	8	11017	3456	3413	3129	4243	2853	4077	36.22
	24	1	9986	3439	3325	3709	142170	27580	39401	36.28
	24	2	59146	11654	5901	39923	118896	32104	45863	36.28
	24	3	60324	13550	5474	15493	215527	35457	50654	36.28
	24	4	59544	24368	11372	55397	236289	34085	48693	36.28
	24	5	72886	22535	11037	109631	198221	34705	49579	36.28
	24	6	77191	25536	10941	41883	88527	30878	44112	36.28
	24	7	63039	15133	7592	99418	146444	30796	43995	36.28
	24	8	11041	3426	3427	3150	4247	2853	4077	36.28
	25	1	9983	3432	3355	3693	141853	27545	39350	36.28
	25	2	59124	11654	5896	39918	118871	32087	45840	36.28
	25	3	60401	13516	5536	15483	215688	35383	50548	36.28
	25	4	59886	24556	11445	56088	238919	34509	49299	36.28
	25	5	74086	22650	11042	109578	198260	34683	49548	36.28
	25	6	76531	25362	10883	41436	87563	30699	43857	36.28
	25	7	62927	15100	7580	99414	146230	30805	44008	36.28
	25	8	11046	3421	3383	3140	4251	2863	4090	36.28
	26	1	9984	3440	3337	3685	142064	27531	39330	36.31
	26	2	59231	11656	5902	39956	119031	32114	45878	36.31
	26	3	60304	13561	5516	15509	215720	35404	50578	36.31
	26	4	59676	24434	11405	55725	237527	34371	49102	36.31
	26	5	76426	22962	11044	109638	198282	34685	49550	36.31
	26	6	76127	25237	10824	41197	86983	30666	43809	36.31
	26	7	62851	15108	7583	99245	146033	30776	43966	36.31
	26	8	11037	3451	3404	3154	4245	2845	4065	36.31
	27	1	10014	3421	3318	3707	141883	27556	39366	36.34
	27	2	59291	11692	5910	40076	119146	32147	45925	36.34
	27	3	60332	13535	5528	15529	215908	35368	50527	36.34
	27	4	59745	24452	11403	55663	237488	34346	49066	36.34
	27	5	81065	23541	11110	110140	199252	34827	49754	36.34
	27	6	75806	25122	10766	40971	86527	30608	43726	36.34
	27	7	62767	15110	7597	99181	145864	30804	44006	36.34
	27	8	11052	3446	3423	3126	4246	2849	4071	36.34
	28	1	10003	3427	3341	3692	142083	27476	39252	36.38
	28	2	59229	11683	5910	40045	119115	32119	45885	36.38
	28	3	60435	13566	5513	15553	216162	35407	50582	36.38
	28	4	59772	24492	11412	55686	237547	34320	49029	36.38
	28	5	88979	24409	11091	109767	198604	34742	49632	36.38
	28	6	75583	25082	10787	40824	86212	30616	43738	36.38
	28	7	62734	15082	7594	99175	145796	30805	44008	36.38
	28	8	11060	3451	3406	3133	4244	2872	4103	36.38
	29	1	10022	3444	3343	3695	142674	27499	39285	36.41
	29	2	59269	11683	5908	40143	119184	32127	45896	36.41
	29	3	60426	13552	5544	15567	216041	35395	50565	36.41
	29	4	59815	24497	11431	55687	237699	34337	49053	36.41
	29	5	102396	25963	11076	109635	198353	34678	49540	36.41
	29	6	75492	25045	10749	40761	86052	30586	43695	36.41
	29	7	62660	15066	7590	99066	145569	30801	44002	36.41
	29	8	11054	3445	3389	3152	4253	2851	4074	36.41
	30	1	10018	3457	3341	3712	143787	27542	39347	36.41
	30	2	59371	11681	5933	40170	119244	32167	45953	36.41
