FU 142	Cycle	RC	S0	S1	S2	S3	S4	S5	qPCR Temp	FILE EXPORTED FROM DATABASE	
	28	8	16110	8432	5518	4537	6568	4207	34.75
	29	1	49438	11677	5482	5292	215771	69522	34.81
	29	2	61984	12752	6505	87555	175139	67183	34.81
	29	3	81245	20124	7899	33852	210794	70498	34.81
	29	4	81830	33814	14134	61874	246798	68382	34.81
	29	5	93983	27892	12358	151421	272118	70766	34.81
	29	6	112430	41659	16623	59891	122176	70154	34.81
	29	7	90207	19747	8063	118226	160969	69843	34.81
	29	8	16115	8433	5527	4531	6574	4202	34.81
	30	1	49441	11685	5477	5291	217558	69382	34.88
	30	2	62025	12779	6499	87576	175191	67191	34.88
	30	3	81101	20123	7880	33818	210291	70387	34.88
	30	4	81891	36583	15313	61880	246770	68414	34.88
	30	5	94109	27933	12371	151557	272499	70804	34.88
	30	6	112444	41690	16640	60223	122320	70121	34.88
	30	7	90252	19771	8063	118185	160939	69854	34.88
	30	8	16106	8443	5522	4527	6558	4213	34.88
	31	1	49590	11715	5491	5321	221979	69551	34.94
	31	2	62162	12767	6504	87800	175632	67309	34.94
	31	3	81233	20112	7893	33879	210491	70432	34.94
	31	4	82037	41888	17540	61834	246437	68281	34.94
	31	5	94291	28005	12386	151942	273175	70956	34.94
	31	6	112528	41724	16649	60992	122600	70107	34.94
	31	7	90300	19780	8063	118268	161058	69826	34.94
	31	8	16132	8452	5516	4538	6564	4211	34.94
	32	1	49586	11709	5482	5369	230540	69662	34.97
	32	2	62269	12786	6513	87906	175852	67295	34.97
	32	3	81153	20121	7883	33844	210129	70258	34.97
	32	4	82352	52127	21873	61845	246178	68202	34.97
	32	5	94282	27990	12381	151761	272728	70842	34.97
	32	6	112562	41741	16674	62357	122791	70047	34.97
	32	7	90398	19813	8073	118323	161145	69843	34.97
	32	8	16123	8443	5481	4524	6557	4209	34.97
	33	1	49558	11697	5459	5407	246055	70068	35.03
	33	2	62217	12799	6505	87774	175457	67193	35.03
	33	3	81300	20154	7918	33920	210573	70400	35.03
	33	4	82862	68952	28987	61842	246127	68229	35.03
	33	5	94335	27998	12387	151854	272901	70806	35.03
	33	6	112640	41778	16712	65146	123272	70008	35.03
	33	7	90437	19794	8081	118355	161184	69871	35.03
	33	8	16137	8436	5494	4534	6581	4203	35.03
	34	1	49638	11717	5485	5477	263340	70554	35.06
	34	2	62192	12791	6524	87642	175260	67133	35.06
	34	3	81216	20149	7887	33886	209871	70197	35.06
	34	4	83487	89242	37739	61890	246374	68208	35.06
	34	5	94388	28048	12408	151817	272847	70836	35.06
	34	6	112693	41814	16791	70461	124158	70067	35.06
	34	7	90479	19823	8082	118247	161089	69796	35.06
	34	8	16128	8444	5486	4522	6574	4218	35.06
	35	1	49706	11721	5484	5531	281895	71028	35.09
	35	2	62341	12808	6513	87875	175603	67256	35.09
	35	3	81265	20183	7917	33915	210164	70194	35.09
	35	4	84151	110797	47204	61978	246575	68280	35.09
	35	5	94350	28029	12395	151735	272576	70752	35.09
	35	6	112613	41789	16926	80000	125426	69957	35.09
	35	7	90463	19823	8074	118200	161017	69746	35.09
	35	8	16123	8426	5482	4533	6568	4217	35.09
	36	1	49778	11707	5466	5602	304542	71489	35.16
	36	2	62414	12799	6510	87961	175838	67257	35.16
	36	3	81293	20179	7933	33951	209997	70175	35.16
	36	4	84662	130417	55897	61921	246254	68126	35.16
	36	5	94474	28048	12400	151799	272564	70736	35.16
	36	6	112627	41833	17123	94723	127580	69879	35.16
	36	7	90524	19819	8082	118251	161039	69709	35.16
	36	8	16152	8426	5492	4539	6578	4207	35.16
	37	1	49732	11716	5510	5695	330324	72052	35.16
	37	2	62449	12813	6511	87928	175694	67205	35.16
	37	3	81356	20203	7925	34001	210109	70197	35.16
	37	4	85127	147877	63689	61899	246076	68097	35.16
	37	5	94476	28056	12413	151753	272478	70697	35.16
	37	6	112621	41862	17343	111958	130025	69840	35.16
	37	7	90503	19843	8089	118148	160880	69670	35.16
	37	8	16128	8436	5486	4523	6570	4215	35.16
	38	1	49742	11707	5507	5783	357993	72757	35.22
	38	2	62358	12808	6493	87743	175247	67047	35.22
	38	3	81436	20230	7935	34078	210421	70265	35.22
	38	4	85572	163151	70450	61962	246094	68035	35.22
	38	5	94535	28069	12422	151851	272561	70677	35.22
	38	6	112718	41864	17570	128742	132478	69799	35.22
	38	7	90553	19854	8085	118138	160983	69652	35.22
	38	8	16128	8434	5498	4519	6561	4228	35.22
	39	1	49840	11718	5492	5888	386447	73458	35.25
	39	2	62372	12798	6523	87688	175119	66988	35.25
	39	3	81527	20291	7945	34130	210784	70376	35.25
	39	4	85974	176742	76480	61962	245973	68033	35.25
	39	5	94656	28084	12406	151973	272762	70707	35.25
	39	6	112791	41918	17791	144312	134796	69834	35.25
	39	7	90568	19834	8089	118073	160809	69617	35.25
	39	8	16151	8430	5506	4520	6564	4192	35.25
	40	1	49808	11718	5503	5982	413267	73966	35.28
	40	2	62451	12807	6505	87819	175313	67061	35.28
	40	3	81350	20258	7943	34071	210090	70113	35.28
	40	4	86308	189136	81897	61966	245924	67971	35.28
	40	5	94706	28121	12414	151950	272498	70671	35.28
	40	6	112799	41919	17970	158143	136620	69779	35.28
	40	7	90725	19865	8089	118253	160997	69713	35.28
	40	8	16150	8422	5479	4533	6579	4197	35.28
